epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.8198,0,91391.1,0,0,0,0,0,0,7440,0,0.0703333,0.0032963,0.0032963
2,42.1516,0,736.091,0,0,0,0,0,0,0.21941,0,0.0403099,0.00660619,0.00660619
3,53.6713,0,0.34237,0,0,0,0,0,0,0,0,0.0102629,0.00989251,0.00989251
4,66.369,0,0,0,0,0,0,0,0,0,0,0.00989393,0.00989393,0.00989393
5,79.5937,0,0,0,0,0,0,0,0,0,0,0.00985857,0.00985857,0.00985857
6,90.7681,0,0,0,0,0,0,0,0,0,0,0.00982321,0.00982321,0.00982321
7,101.827,0,0,0,0,0,0,0,0,0,0,0.00978786,0.00978786,0.00978786
8,112.82,0,0,0,0,0,0,0,0,0,0,0.0097525,0.0097525,0.0097525
9,125.333,0,0,0,0,0,0,0,0,0,0,0.00971714,0.00971714,0.00971714
10,137.192,0,0,0,0,0,0,0,0,0,0,0.00968179,0.00968179,0.00968179
11,149.25,0,0,0,0,0,0,0,0,0,0,0.00964643,0.00964643,0.00964643
